id,label
5001,1
5002,1
5003,0
5004,1
5005,1
5006,0
5007,0
5008,0
5009,1
5010,0
5011,1
5012,1
5013,0
5014,1
5015,1
5016,0
5017,1
5018,0
5019,0
5020,0
5021,1
5022,1
5023,1
5024,1
5025,1
5026,1
5027,0
5028,0
5029,0
5030,0
5031,1
5032,0
5033,0
5034,0
5035,1
5036,1
5037,0
5038,0
5039,0
5040,0
5041,0
5042,0
5043,0
5044,0
5045,1
5046,0
5047,1
5048,1
5049,1
5050,0
5051,0
5052,0
5053,0
5054,1
5055,0
5056,0
5057,1
5058,0
5059,0
5060,0
5061,0
5062,0
5063,0
5064,0
5065,0
5066,1
5067,0
5068,0
5069,1
5070,0
5071,1
5072,1
5073,1
5074,0
5075,1
5076,1
5077,1
5078,0
5079,0
5080,0
5081,0
5082,1
5083,0
5084,0
5085,1
5086,1
5087,1
5088,1
5089,0
5090,1
5091,0
5092,1
5093,1
5094,1
5095,1
5096,0
5097,0
5098,0
5099,0
5100,1
5101,1
5102,1
5103,0
5104,1
5105,1
5106,0
5107,0
5108,1
5109,0
5110,0
5111,1
5112,0
5113,0
5114,1
5115,1
5116,0
5117,1
5118,0
5119,1
5120,0
5121,0
5122,0
5123,0
5124,0
5125,0
5126,1
5127,1
5128,0
5129,0
5130,0
5131,1
5132,1
5133,0
5134,1
5135,1
5136,0
5137,0
5138,1
5139,0
5140,0
5141,0
5142,1
5143,0
5144,1
5145,1
5146,1
5147,0
5148,0
5149,0
5150,0
5151,1
5152,1
5153,1
5154,0
5155,1
5156,1
5157,0
5158,0
5159,1
5160,0
5161,1
5162,0
5163,0
5164,1
5165,1
5166,0
5167,0
5168,0
5169,1
5170,1
5171,0
5172,1
5173,1
5174,1
5175,1
5176,0
5177,1
5178,0
5179,1
5180,1
5181,1
5182,1
5183,1
5184,1
5185,0
5186,1
5187,0
5188,1
5189,0
5190,0
5191,0
5192,1
5193,1
5194,1
5195,1
5196,0
5197,1
5198,0
5199,1
5200,1
5201,1
5202,1
5203,1
5204,1
5205,0
5206,1
5207,1
5208,1
5209,0
5210,1
5211,0
5212,0
5213,1
5214,0
5215,0
5216,0
5217,1
5218,0
5219,0
5220,1
5221,1
5222,0
5223,0
5224,0
5225,1
5226,1
5227,0
5228,1
5229,0
5230,0
5231,0
5232,1
5233,0
5234,1
5235,1
5236,1
5237,0
5238,1
5239,1
5240,1
5241,0
5242,0
5243,0
5244,1
5245,1
5246,0
5247,0
5248,1
5249,0
5250,1
5251,1
5252,1
5253,0
5254,0
5255,0
5256,0
5257,0
5258,0
5259,1
5260,0
5261,1
5262,1
5263,1
5264,0
5265,1
5266,0
5267,0
5268,0
5269,0
5270,1
5271,0
5272,0
5273,1
5274,0
5275,1
5276,0
5277,1
5278,1
5279,0
5280,1
5281,1
5282,1
5283,1
5284,0
5285,0
5286,0
5287,1
5288,1
5289,0
5290,0
5291,1
5292,1
5293,0
5294,1
5295,0
5296,1
5297,0
5298,1
5299,0
5300,0
5301,0
5302,0
5303,1
5304,0
5305,1
5306,1
5307,0
5308,0
5309,1
5310,1
5311,1
5312,1
5313,1
5314,1
5315,1
5316,1
5317,1
5318,0
5319,0
5320,0
5321,0
5322,0
5323,0
5324,0
5325,1
5326,1
5327,0
5328,0
5329,0
5330,0
5331,0
5332,1
5333,0
5334,0
5335,0
5336,1
5337,0
5338,1
5339,0
5340,1
5341,0
5342,0
5343,0
5344,1
5345,0
5346,1
5347,0
5348,0
5349,0
5350,0
5351,1
5352,0
5353,1
5354,1
5355,1
5356,0
5357,0
5358,0
5359,0
5360,1
5361,1
5362,1
5363,1
5364,1
5365,0
5366,1
5367,1
5368,1
5369,1
5370,1
5371,1
5372,1
5373,0
5374,0
5375,1
5376,1
5377,0
5378,0
5379,0
5380,0
5381,1
5382,0
5383,1
5384,1
5385,0
5386,0
5387,0
5388,1
5389,0
5390,1
5391,1
5392,0
5393,0
5394,0
5395,0
5396,1
5397,0
5398,1
5399,0
5400,0
5401,0
5402,0
5403,0
5404,0
5405,1
5406,1
5407,0
5408,1
5409,0
5410,0
5411,1
5412,0
5413,0
5414,1
5415,1
5416,1
5417,1
5418,0
5419,1
5420,0
5421,0
5422,1
5423,0
5424,0
5425,0
5426,1
5427,0
5428,0
5429,0
5430,1
5431,0
5432,1
5433,0
5434,0
5435,0
5436,0
5437,0
5438,0
5439,1
5440,1
5441,0
5442,1
5443,0
5444,1
5445,1
5446,0
5447,0
5448,1
5449,0
5450,1
5451,0
5452,0
5453,0
5454,0
5455,1
5456,0
5457,1
5458,0
5459,0
5460,1
5461,0
5462,1
5463,0
5464,1
5465,1
5466,1
5467,0
5468,0
5469,0
5470,0
5471,1
5472,1
5473,1
5474,1
5475,0
5476,1
5477,0
5478,1
5479,0
5480,1
5481,1
5482,0
5483,1
5484,1
5485,0
5486,1
5487,1
5488,0
5489,1
5490,0
5491,0
5492,1
5493,1
5494,1
5495,0
5496,0
5497,0
5498,1
5499,0
5500,0
5501,0
5502,1
5503,0
5504,0
5505,0
5506,1
5507,1
5508,1
5509,0
5510,1
5511,1
5512,1
5513,0
5514,0
5515,0
5516,1
5517,0
5518,0
5519,1
5520,0
5521,0
5522,0
5523,1
5524,0
5525,0
5526,1
5527,0
5528,1
5529,1
5530,1
5531,0
5532,1
5533,1
5534,0
5535,1
5536,0
5537,1
5538,0
5539,1
5540,0
5541,0
5542,1
5543,1
5544,0
5545,0
5546,1
5547,1
5548,1
5549,0
5550,0
5551,1
5552,1
5553,1
5554,1
5555,1
5556,0
5557,1
5558,1
5559,1
5560,0
5561,0
5562,1
5563,1
5564,0
5565,1
5566,1
5567,0
5568,0
5569,0
5570,1
5571,1
5572,0
5573,0
5574,1
5575,0
5576,0
5577,0
5578,0
5579,1
5580,1
5581,1
5582,1
5583,0
5584,0
5585,1
5586,1
5587,0
5588,1
5589,0
5590,0
5591,0
5592,1
5593,0
5594,1
5595,1
5596,0
5597,0
5598,0
5599,0
5600,0
5601,1
5602,0
5603,0
5604,0
5605,1
5606,1
5607,1
5608,0
5609,0
5610,0
5611,1
5612,0
5613,1
5614,0
5615,0
5616,1
5617,1
5618,0
5619,0
5620,1
5621,0
5622,1
5623,1
5624,0
5625,1
5626,0
5627,0
5628,1
5629,1
5630,0
5631,0
5632,0
5633,0
5634,1
5635,0
5636,1
5637,0
5638,0
5639,1
5640,1
5641,0
5642,1
5643,1
5644,0
5645,1
5646,1
5647,0
5648,0
5649,1
5650,0
5651,0
5652,0
5653,1
5654,0
5655,1
5656,1
5657,0
5658,1
5659,1
5660,1
5661,0
5662,0
5663,1
5664,0
5665,0
5666,1
5667,0
5668,0
5669,1
5670,0
5671,0
5672,1
5673,0
5674,1
5675,1
5676,1
5677,1
5678,0
5679,0
5680,1
5681,0
5682,0
5683,0
5684,1
5685,0
5686,0
5687,0
5688,1
5689,1
5690,1
5691,1
5692,0
5693,0
5694,1
5695,0
5696,0
5697,0
5698,0
5699,1
5700,0
5701,1
5702,0
5703,0
5704,1
5705,0
5706,0
5707,1
5708,0
5709,1
5710,0
5711,1
5712,0
5713,0
5714,0
5715,1
5716,1
5717,1
5718,0
5719,1
5720,1
5721,1
5722,0
5723,0
5724,0
5725,0
5726,1
5727,1
5728,0
5729,0
5730,0
5731,0
5732,1
5733,0
5734,1
5735,1
5736,0
5737,0
5738,0
5739,0
5740,1
5741,0
5742,0
5743,0
5744,0
5745,0
5746,0
5747,0
5748,1
5749,0
5750,1
5751,1
5752,0
5753,1
5754,0
5755,1
5756,0
5757,0
5758,1
5759,0
5760,1
5761,0
5762,0
5763,1
5764,1
5765,0
5766,1
5767,0
5768,1
5769,1
5770,0
5771,0
5772,0
5773,0
5774,0
5775,0
5776,0
5777,1
5778,1
5779,0
5780,0
5781,1
5782,1
5783,0
5784,1
5785,0
5786,0
5787,0
5788,1
5789,0
5790,1
5791,1
5792,1
5793,0
5794,1
5795,1
5796,0
5797,0
5798,1
5799,1
5800,1
5801,0
5802,1
5803,1
5804,1
5805,1
5806,0
5807,1
5808,0
5809,1
5810,1
5811,0
5812,0
5813,0
5814,0
5815,1
5816,0
5817,0
5818,0
5819,0
5820,0
5821,0
5822,0
5823,0
5824,0
5825,0
5826,0
5827,1
5828,0
5829,0
5830,1
5831,1
5832,1
5833,0
5834,1
5835,1
5836,1
5837,0
5838,0
5839,0
5840,0
5841,1
5842,0
5843,0
5844,1
5845,0
5846,1
5847,0
5848,1
5849,1
5850,0
5851,0
5852,0
5853,0
5854,1
5855,0
5856,1
5857,0
5858,0
5859,0
5860,0
5861,0
5862,0
5863,0
5864,1
5865,1
5866,0
5867,1
5868,0
5869,1
5870,0
5871,1
5872,0
5873,1
5874,1
5875,1
5876,1
5877,0
5878,0
5879,1
5880,0
5881,1
5882,1
5883,0
5884,1
5885,1
5886,1
5887,0
5888,0
5889,1
5890,0
5891,1
5892,0
5893,0
5894,1
5895,1
5896,0
5897,1
5898,0
5899,1
5900,0
5901,0
5902,1
5903,0
5904,0
5905,0
5906,0
5907,1
5908,0
5909,0
5910,1
5911,1
5912,1
5913,1
5914,1
5915,1
5916,1
5917,0
5918,1
5919,0
5920,0
5921,1
5922,1
5923,0
5924,0
5925,0
5926,0
5927,0
5928,1
5929,1
5930,0
5931,0
5932,0
5933,1
5934,0
5935,0
5936,1
5937,1
5938,0
5939,1
5940,1
5941,1
5942,1
5943,0
5944,1
5945,1
5946,1
5947,0
5948,1
5949,1
5950,1
5951,0
5952,1
5953,0
5954,0
5955,1
5956,0
5957,1
5958,0
5959,0
5960,1
5961,1
5962,0
5963,0
5964,0
5965,1
5966,1
5967,0
5968,1
5969,1
5970,1
5971,0
5972,0
5973,1
5974,0
5975,1
5976,0
5977,1
5978,0
5979,0
5980,0
5981,0
5982,0
5983,1
5984,0
5985,1
5986,0
5987,0
5988,0
5989,0
5990,0
5991,1
5992,1
5993,0
5994,0
5995,1
5996,0
5997,0
5998,1
5999,1
6000,0
6001,0
6002,0
6003,1
6004,1
6005,1
6006,1
6007,1
6008,1
6009,0
6010,0
6011,1
6012,1
6013,0
6014,0
6015,1
6016,1
6017,0
6018,0
6019,0
6020,0
6021,0
6022,1
6023,0
6024,0
6025,1
6026,0
6027,1
6028,0
6029,0
6030,0
6031,0
6032,0
6033,0
6034,1
6035,0
6036,1
6037,0
6038,1
6039,0
6040,0
6041,0
6042,1
6043,0
6044,1
